model,train_dataset,eval_dataset,dice,iou,miou,accuracy,sensitivity,specificity,precision,hd95,params,flops,fps,best_epoch
unext,isic2018,PH2,0.9183890144136572,0.8545865643156071,0.8740000656473295,0.949294357299882,0.973089416270878,0.9331604132214169,0.8788978379055673,14.389796079704343,380545,1753743360,291.61721640707765,42
malunet,isic2018,PH2,0.9115481142619422,0.846974250976816,0.8677368592517324,0.940272674560638,0.95745995650153,0.939151877197928,0.8867125375053067,14.06707708526537,177943,71860864,99.89039745882457,117
lbunet,isic2018,PH2,0.9103162528356066,0.8433342458917391,0.8649628864220751,0.9401127624512634,0.962632746513036,0.9375074735056927,0.8785252162730973,14.845891339154331,55865,93674496,95.25231649941428,106
blmnet,isic2018,isic2017,0.8989319228967725,0.8337800630242114,0.8919085699976904,0.9666533954327432,0.917338221312899,0.973107581722554,0.9097454008318072,12.10388523948174,201431,692929536,90.76635174389004,100
malunet,isic2018,isic2017,0.8770155621714747,0.7999016491848864,0.8720528424357407,0.9620298414964524,0.9440985544030251,0.9630655889192232,0.8471487608396326,14.124406473401065,177943,71860864,99.89039745882457,117
unext,isic2018,isic2017,0.8733720578655237,0.7977214656920744,0.8697727873422404,0.9603574782152048,0.9232325067395158,0.9656145506609398,0.8637882775824567,17.349448617796444,380545,1753743360,291.61721640707765,42
egeunet,isic2018,isic2017,0.8720207687186009,0.7989113324074347,0.8735885324441317,0.9619583599384596,0.9063071186084168,0.9750901393422208,0.8805500641334879,14.71172059657126,53374,72076544,63.33131229584,98
lbunet,isic2018,isic2017,0.8683497846410759,0.7929704552271183,0.8663692493771518,0.9583237633338978,0.9303627192606956,0.9593029258542478,0.851780293803223,15.981556697928308,55865,93674496,95.25231649941428,106
blmnet,isic2018,isic2018,0.8867991806354163,0.8162253331490217,0.8665894436288555,0.9483470350209636,0.8901010892825311,0.95987767188468,0.9210653761931388,15.44320215010596,201431,692929536,90.76635174389004,100
unext,isic2018,isic2018,0.8797815498527642,0.8052271381490383,0.857758288691304,0.9439992243701544,0.901441379026344,0.9539166605515286,0.8982691088174226,17.680901061242302,380545,1753743360,291.61721640707765,42
malunet,isic2018,isic2018,0.8793156119759443,0.8043511965724901,0.8577654947534021,0.9435829313675635,0.9171890832982674,0.9506303993506512,0.8821052533667963,16.8174177579367,177943,71860864,99.89039745882457,117
egeunet,isic2018,isic2018,0.8789667913176189,0.8056942007583918,0.8621582721878224,0.9464672768470902,0.8900639375289968,0.967381937675079,0.9099036105551308,16.575885710280104,53374,72076544,63.33131229584,98
lbunet,isic2018,isic2018,0.8778336605393142,0.8040252913323152,0.8568402807485233,0.9432383055735029,0.9046365129893555,0.9496386948553714,0.8945998821032216,17.488614724167473,55865,93674496,95.25231649941428,106
